Event,Date,T Coordinate,Interval,Spider,Sequence,Time,Location,Address,City,State,Lat,Lon
1,12/22/17,0,,32.14,,1547,BB&T Bank,13045 Lee jackson memorial Highway,Fairfax,Virginia,38.8800799,-77.3989326
2,1/11/18,20,20,10.47,32.88,1026,Capital One bank,85 H street Northwest,Washington,District of Colombia,38.9000104,-77.0208486
3,2/13/18,53,33,16.58,26.77,1036,Suntrust Bank,405 Manning Road,Maryland,Maryland,38.6588792,-77.0166171
4,3/1/18,69,16,,22.95,1350,Capital One bank,3499 South Jefferson Street,Falls Church,Virginia,38.8492222,-77.1195227
5,3/8/18,76,7,,10.86,1235,M&T Bank,7485 Richmond Highway,Alexandria,Virginia,38.7551337,-77.0851214
6,5/14/18,143,67,,20.17,2125,Burlington Coat Factory,3200 Donnell Drive,Washington,District of Colombia,38.8470633,-76.8847827
7,6/29/18,189,46,,25.03,1444,PNC Bank,3297 Crain Highway,Waldorf,Maryland,38.6232202,-76.9192743
8,7/12/18,202,13,,3.8,1014,BB&T Bank,0660 Stanhaven Place,White Plains,Maryland,38.5937663,-76.9414722
9,8/17/18,238,36,,19.03,UNK,BB&T Bank,9412 Livingston Road,Fort Washington,Maryland,38.759594,-76.9968747
10,9/14/18,266,28,,0.002,UNK,BB&T Bank,9412 Livingston Road,Fort Washington,Maryland,38.7594,-76.9968747
11,10/9/18,291,25,,33.31,UNK,Wells Fargo,15480 Annapolis Road,Bowie,Maryland,38.9802525,-76.7370387
12,10/12/18,294,3,,40.06,1640,PNC Bank,4125 Saint Germaine Drive,UNK,Virginia,38.7853263,-77.1256328
13,10/12/18,294,0,,9.08,UNK,BB&T Bank,5203 Franconia Road,Alexandria,Virginia,38.739024,-77.2117334
14,10/27/18,309,15,,15.76,1130,Banko Of America,8096 Rolling road,Springfield,Virginia,38.8029984,-77.0498218
15,10/29/18,311,2,,3.42,1354,Eagle Bank,277 A.Washington street,Alexandria,Virginia,38.7750494,-77.0662701
16,11/13/18,326,15,,5.86,1300,Wells Fargo,1805 Belle View Blvd,Alexandria,Virginia,38.7836479,-77.1328325
17,12/10/18,353,27,,0.65,900,Burke & Hurbert Bank,5519 Franconia Road,Alexandria,Virginia,38.7853263,-77.1256328
18,12/20/18,363,10,,27.64,945,BB&T Bank,5203 Franconia Road,Alexandria,Virginia,39.0259514,-77.0438126
19,1/2/19,376,13,,17.39,UNK,Capital One bank,15460 Annapolis Road,Bowie,Maryland,38.8750988,-77.0977482
,,,,,,,,,,,,
,,,mean,13.76,17.48122222,corr,0.12935786,,,,,
,,,sd,9.46,12.15010931,,,,,,,
,,,,,,,,,,,,
,,,max,23.22,29.63133153,,,,,,,
,,,min,4.3,5.33111291,,,,,,,