Prior,Date,Time,Location,Address,City,State,Lat,Lon
1,1/11/18,1026,Capital One bank,85 H street Northwest,Washington,District of Colombia,38.9000104,-77.0208486
2,2/13/18,1036,Suntrust Bank,405 Manning Road,Maryland,Maryland,38.6588792,-77.0166171
3,3/1/18,1350,Capital One bank,3499 South Jefferson Street,Falls Church,Virginia,38.8492222,-77.1195227
4,3/8/18,1235,M&T Bank,7485 Richmond Highway,Alexandria,Virginia,38.7551337,-77.0851214
5,5/14/18,2125,Burlington Coat Factory,3200 Donnell Drive,Washington,District of Colombia,38.8470633,-76.8847827
6,6/29/18,1444,PNC Bank,3297 Crain Highway,Waldorf,Maryland,38.6232202,-76.9192743
7,7/12/18,1014,BB&T Bank,0660 Stanhaven Place,White Plains,Maryland,38.5937663,-76.9414722
8,8/17/18,UNK,BB&T Bank,9412 Livingston Road,Fort Washington,Maryland,38.759594,-76.9968747
9,9/14/18,UNK,BB&T Bank,9412 Livingston Road,Fort Washington,Maryland,38.7594,-76.9968747
10,10/9/18,UNK,Wells Fargo,15480 Annapolis Road,Bowie,Maryland,38.9802525,-76.7370387
11,10/12/18,1640,PNC Bank,4125 Saint Germaine Drive,UNK,Virginia,38.7853263,-77.1256328
12,10/12/18,UNK,BB&T Bank,5203 Franconia Road,Alexandria,Virginia,38.739024,-77.2117334
13,10/27/18,1130,Banko Of America,8096 Rolling road,Springfield,Virginia,38.8029984,-77.0498218
14,10/29/18,1354,Eagle Bank,277 A.Washington street,Alexandria,Virginia,38.7750494,-77.0662701
15,11/13/18,1300,Wells Fargo,1805 Belle View Blvd,Alexandria,Virginia,38.7836479,-77.1328325
16,12/10/18,0900,Burke & Hurbert Bank,5519 Franconia Road,Alexandria,Virginia,38.7853263,-77.1256328
17,12/20/18,0945,BB&T Bank,5203 Franconia Road,Alexandria,Virginia,39.0259514,-77.0438126
18,1/2/19,UNK,Capital One bank,15460 Annapolis Road,Bowie,Maryland,38.8750988,-77.0977482